topic_id,category,pillar,title,observation,claim,novelty,scope,region,footage,demonstration,evidence_status,support_review,editorial_scores,editorial_note,sources,subject,claim_id
home-067,home,technology,Why an extension reel has a lower rating while wound,an extension reel has a lower rating while wound,Coiled cable sheds resistive heat less effectively than fully unwound cable.,Coiled cable sheds resistive heat less effectively than fully unwound cable.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film an extension reel has a lower rating while wound; start with the visible detail, then a different close-up of the same object.",Compare heat escaping from a coil and straight cable.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://service.brennenstuhl.com/hc/en-us/articles/18137868468893-Why-are-the-conductor-resistance-limits-exceeded-during-the-DGUV-test-of-our-brennenstuhl-cable-reel-or-our-extension-cable"", ""publisher"": ""brennenstuhl.com""}, {""url"": ""https://service.brennenstuhl.com/hc/en-us/articles/29919862115997-Cable-Lengths-for-Power-Strips-and-Safe-Alternatives"", ""publisher"": ""brennenstuhl.com""}, {""url"": ""https://service.brennenstuhl.com/hc/en-us/articles/6953006562973-When-does-the-overheating-protection-on-cable-reels-trip-and-how-does-it-work"", ""publisher"": ""brennenstuhl.com""}]",an-extension-reel-has-a-lower-rating-while-wound,mechanism-a81c3080ecab8054
home-068,home,technology,Why a plug feels secure without screws holding it in,a plug feels secure without screws holding it in,Spring contacts apply pressure to the pins while conducting current.,Spring contacts apply pressure to the pins while conducting current.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a plug feels secure without screws holding it in; start with the visible detail, then a different close-up of the same object.",Show spring contacts flexing around a pin.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://assets.legrand.com/general/mediagrp/np-ft-gt/f00277en-00.pdf"", ""publisher"": ""legrand.com""}, {""url"": ""https://assets.legrand.com/general/legrand-fr/certif/lgthqgzeot.pdf"", ""publisher"": ""legrand.com""}, {""url"": ""https://www.legrand.com/ecatalogue/en/catalog/products/niloe-2x2pe-socket-schuko-standard-automatic-terminals-shuttered-for-safety-matte-black-finish-np3130bk"", ""publisher"": ""legrand.com""}]",a-plug-feels-secure-without-screws-holding-it-in,mechanism-54a6bf2fa9868b8e
home-069,home,technology,Why some plugs have a longer earth pin,some plugs have a longer earth pin,In applicable plug designs the earth connects first and can operate socket shutters.,In applicable plug designs the earth connects first and can operate socket shutters.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film some plugs have a longer earth pin; start with the visible detail, then a different close-up of the same object.",Animate connection order in a labelled regional plug.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.electricalsafetyfirst.org.uk/media/uauhdlcz/plug-checker-2023-instructions-v2-1.pdf"", ""publisher"": ""electricalsafetyfirst.org.uk""}, {""url"": ""https://www.electricalsafetyfirst.org.uk/media/1237/universal_socket_outlets.pdf"", ""publisher"": ""electricalsafetyfirst.org.uk""}, {""url"": ""https://www.electricalsafetyfirst.org.uk/product-recalls/2009/03/jml-fresh-air-globe-mains-adaptor-plug/"", ""publisher"": ""electricalsafetyfirst.org.uk""}]",payments,mechanism-c3bcedfa1b716028
home-070,home,technology,Why a retractable tape measure has a loose end hook,a retractable tape measure has a loose end hook,Hook movement compensates for its thickness in inside versus outside measurements.,Hook movement compensates for its thickness in inside versus outside measurements.,Stanley Tru-Zero sliding end-hook design; a different hook design may have different tolerances.,Global where the specified design is used,"Film a retractable tape measure has a loose end hook; start with the visible detail, then a different close-up of the same object.",Compare pushing and pulling the same hook.,reviewed,"{""reviewed_at"": ""2026-09-16T15:22:54.152954+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Hook movement compensates for its thickness in inside versus outside measurements."", ""scope"": ""Stanley Tru-Zero sliding end-hook design; a different hook design may have different tolerances.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://support.stanleytools.com/hc/en-us/articles/360012677558-Why-does-the-hook-on-my-tape-measure-move"", ""publisher"": ""stanleytools.com"", ""passage"": ""not have to worry about compensating for hook thickness"", ""retrieved_at"": ""2026-09-16T05:14:21.092062+00:00""}]",water-fixtures,mechanism-b076ad16e302b16d
home-071,home,technology,Why a tape measure blade curves across its width,a tape measure blade curves across its width,The curved cross-section improves resistance to bending while extended.,The curved cross-section improves resistance to bending while extended.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a tape measure blade curves across its width; start with the visible detail, then a different close-up of the same object.",Compare a flat strip with a curved strip.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.stanleytools.com/product/stht39516/stanley-tylon-16-ft-tape-measure"", ""publisher"": ""stanleytools.com""}, {""url"": ""https://www.stanleytools.com/product/stht39526/stanley-tylon-26-ft-8m-tape-measure"", ""publisher"": ""stanleytools.com""}, {""url"": ""https://www.stanleytools.com/product/stht39525/stanley-tylon-25-ft-tape-measure"", ""publisher"": ""stanleytools.com""}]",water-fixtures,mechanism-d56dbef99206cb53
home-072,home,technology,Why a spirit level bubble moves uphill,a spirit level bubble moves uphill,Buoyancy moves the bubble toward the highest part of a curved vial.,Buoyancy moves the bubble toward the highest part of a curved vial.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a spirit level bubble moves uphill; start with the visible detail, then a different close-up of the same object.",Tilt a vial and trace its bubble.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.stabila.com/files/default/pdf/en/ols26_manual_en.pdf"", ""publisher"": ""stabila.com""}, {""url"": ""https://www.stabila.com/en-US/support/downloads/downloads-english-english.html?cid=12274&file=files%2Fdefault%2Fpdf%2Fus-en_fr%2Fstabila_ecatalog.pdf"", ""publisher"": ""stabila.com""}, {""url"": ""https://www.stabila.com/en-US/products-553/quality-and-technology/spirit-levels.html"", ""publisher"": ""stabila.com""}]",a-spirit-level-bubble-moves-uphill,mechanism-1cc0aa10f97ceede
home-073,home,technology,Why a ratchet turns freely in only one direction,a ratchet turns freely in only one direction,A pawl engages teeth on the drive stroke and slips over them on return.,A pawl engages teeth on the drive stroke and slips over them on return.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a ratchet turns freely in only one direction; start with the visible detail, then a different close-up of the same object.",Magnify a pawl crossing ratchet teeth.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.tekton.com/3-4-inch-drive-x-22-inch-ratchet-srh01322"", ""publisher"": ""tekton.com""}, {""url"": ""https://www.tekton.com/1-2-inch-drive-ratchet-set-srh92005"", ""publisher"": ""tekton.com""}, {""url"": ""https://www.tekton.com/3-4-inch-drive-x-22-inch-quick-release-ratchet-srh11322"", ""publisher"": ""tekton.com""}]",a-ratchet-turns-freely-in-only-one-direction,mechanism-879cd8f31cb9c31d
home-074,home,technology,Why a screw goes into wood more easily after a pilot hole,a screw goes into wood more easily after a pilot hole,The pilot hole reduces displaced material and the torque required to drive the screw.,The pilot hole reduces displaced material and the torque required to drive the screw.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a screw goes into wood more easily after a pilot hole; start with the visible detail, then a different close-up of the same object.",Compare wood displacement with and without a hole.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.spax.com/pc-en/services-for-professionals/technical-lexicon.html"", ""publisher"": ""spax.com""}, {""url"": ""https://www.spax.com/gb-en/p/flooring-screw-fixing-thread-flat-countersunk-head-t-star-plus-cut-point-wirox.html"", ""publisher"": ""spax.com""}, {""url"": ""https://www.spax.com/gb-en/p/fitting-screw-fully-threaded-small-countersunk-head-t-star-plus-4cut-wirox.html"", ""publisher"": ""spax.com""}]",a-screw-goes-into-wood-more-easily-after-a-pilot-hole,mechanism-a85c15df210fe9bc
home-075,home,technology,Why a wall anchor expands when you tighten the screw,a wall anchor expands when you tighten the screw,The screw forces the anchor against the surrounding hole to create retention.,The screw forces the anchor against the surrounding hole to create retention.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a wall anchor expands when you tighten the screw; start with the visible detail, then a different close-up of the same object.",Show expansion inside a wall cross-section.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.fischer.de/de-de/service/ratgeber/montagelexikon/spreizdruck"", ""publisher"": ""fischer.de""}, {""url"": ""https://www.fischer.de/de-de/service/ratgeber/duebelratgeber/kunststoffduebel-ratgeber"", ""publisher"": ""fischer.de""}, {""url"": ""https://www.fischer.de/de-de/service/ratgeber/duebelratgeber/schwerlastduebel-ratgeber"", ""publisher"": ""fischer.de""}]",a-wall-anchor-expands-when-you-tighten-the-screw,mechanism-026bf7345ff7acaa
home-076,home,technology,Why scissors cut badly when their blades separate,scissors cut badly when their blades separate,Effective cutting requires opposing edges to remain close enough to shear rather than fold material.,Effective cutting requires opposing edges to remain close enough to shear rather than fold material.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film scissors cut badly when their blades separate; start with the visible detail, then a different close-up of the same object.",Compare paper between touching and gapped blades.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.fiskars.com/-/media/fiskars/images/legacy/support/catalogues/2019-scissors-catalogue.ashx"", ""publisher"": ""fiskars.com""}, {""url"": ""https://cuix-prod.fiskars.com/en-gb/creating/products/scissors/amplify-sewing-scissors-25cm-1070082"", ""publisher"": ""fiskars.com""}, {""url"": ""https://www.fiskars.com/-/media/fiskars/documents/united-states/safetywarnings_wording.pdf"", ""publisher"": ""fiskars.com""}]",scissors-cut-badly-when-their-blades-separate,mechanism-c5bcec2da2e6167f
home-077,home,technology,Why a retractable ballpoint clicks twice but stays out once,a retractable ballpoint clicks twice but stays out once,A cam mechanism alternates between latched extended and released retracted positions.,A cam mechanism alternates between latched extended and released retracted positions.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a retractable ballpoint clicks twice but stays out once; start with the visible detail, then a different close-up of the same object.",Animate the rotating cam over two presses.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://uni-ball.com/"", ""publisher"": ""uni-ball.com"", ""research_lead_only"": true}]",a-retractable-ballpoint-clicks-twice-but-stays-out-once,mechanism-5c5a07c78bbd71ca
home-078,home,technology,Why a mechanical pencil feeds only a tiny length per click,a mechanical pencil feeds only a tiny length per click,A chuck releases and regrips the lead during a limited feed stroke.,A chuck releases and regrips the lead during a limited feed stroke.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a mechanical pencil feeds only a tiny length per click; start with the visible detail, then a different close-up of the same object.",Cut away the clutch through one click.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.pentel.com/products/orenz-1-click-mechanical-pencil"", ""publisher"": ""pentel.com""}, {""url"": ""https://www.pentel.com/products/pentel-orenz-1-click-mechanical-pencil"", ""publisher"": ""pentel.com""}, {""url"": ""https://www.pentel.com/products/quicker-clicker-mechanical-pencil-with-grip"", ""publisher"": ""pentel.com""}]",a-mechanical-pencil-feeds-only-a-tiny-length-per-click,mechanism-522f27ba1e867478
home-079,home,technology,Why a whiteboard marker can erase another dry mark,a whiteboard marker can erase another dry mark,Fresh solvent can soften compatible dried marker residue before wiping.,Fresh solvent can soften compatible dried marker residue before wiping.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a whiteboard marker can erase another dry mark; start with the visible detail, then a different close-up of the same object.",Show fresh solvent loosening a dry line.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.edding.com/products/edding-620-whiteboard-marker/"", ""publisher"": ""edding.com""}, {""url"": ""https://www.edding.com/products/edding-250-whiteboard-marker/"", ""publisher"": ""edding.com""}, {""url"": ""https://www.edding.com/products/edding-363-xl-whiteboard-marker/"", ""publisher"": ""edding.com""}]",cans,mechanism-bc4a03989d8d8dea
home-080,home,technology,Why pencil erasers leave little crumbs,pencil erasers leave little crumbs,Rubbing removes graphite while the eraser sheds material that carries particles away.,Rubbing removes graphite while the eraser sheds material that carries particles away.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film pencil erasers leave little crumbs; start with the visible detail, then a different close-up of the same object.",Magnify graphite embedded in eraser crumbs.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.staedtler.com/us/en/products/pencils-and-accessories/erasers/"", ""publisher"": ""staedtler.com""}, {""url"": ""https://www.staedtler.com/uk/en/products/pencils-and-accessories/erasers/"", ""publisher"": ""staedtler.com""}, {""url"": ""https://www.staedtler.com/us/en/products/pencils-and-accessories/erasers/staedtler-5427-eraser-5427/"", ""publisher"": ""staedtler.com""}]",pencil-erasers-leave-little-crumbs,mechanism-e1c6a7494daa3a55
buildings-001,buildings,travel,Why pavement has deliberate cuts across it,pavement has deliberate cuts across it,Contraction joints encourage concrete shrinkage cracks to form at planned locations.,The cuts are deliberate weak lines: a controlled crack can be part of the design.,Contraction joints in concrete pavement; not expansion joints or arbitrary pavement markings.,Global where the specified design is used,"Film pavement has deliberate cuts across it; start with the visible detail, then a different close-up of the same object.",Compare random cracking with a weakened joint line.,reviewed,"{""reviewed_at"": ""2026-09-16T05:07:30.644818+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Contraction joints encourage concrete shrinkage cracks to form at planned locations."", ""scope"": ""Contraction joints in concrete pavement; not expansion joints or arbitrary pavement markings.""}","{""recognition"": 3, ""overlooked_detail"": 4, ""payoff"": 4, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.cement.org/wp-content/uploads/2024/08/guide_to_fdr_with_cement_jan_2019.pdf"", ""publisher"": ""cement.org"", ""passage"": ""joints placed in concrete pavements to control ran- dom cracks"", ""retrieved_at"": ""2026-09-16T05:02:27.540561+00:00""}]",pavement-has-deliberate-cuts-across-it,mechanism-20f176a252406e37
buildings-002,buildings,travel,Why bridges have gaps you can hear when driving over,bridges have gaps you can hear when driving over,Expansion joints accommodate thermal and structural movement between bridge sections.,Expansion joints accommodate thermal and structural movement between bridge sections.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film bridges have gaps you can hear when driving over; start with the visible detail, then a different close-up of the same object.",Expand a bridge deck toward a joint.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.fhwa.dot.gov/ENVIRONMENT/noise/noise_barriers/design_construction/design/design08.cfm"", ""publisher"": ""fhwa.dot.gov""}, {""url"": ""https://www.fhwa.dot.gov/bridge/pubs/hif17019.pdf"", ""publisher"": ""fhwa.dot.gov""}, {""url"": ""https://www.fhwa.dot.gov/bridge/lrfd/pscus71.cfm"", ""publisher"": ""fhwa.dot.gov""}]",cans,mechanism-90aa0fe1fa81c205
buildings-003,buildings,travel,Why brick walls have tiny open gaps near the bottom,brick walls have tiny open gaps near the bottom,Weep openings let water drain from a cavity behind the outer masonry.,A gap that looks like unfinished masonry can be a planned path for trapped water.,Drained brick veneer construction described by the Brick Industry Association; omit dimensions from the script.,Global where the specified design is used,"Film brick walls have tiny open gaps near the bottom; start with the visible detail, then a different close-up of the same object.",Follow rainwater down a cavity to a weep.,reviewed,"{""reviewed_at"": ""2026-09-16T05:07:30.646330+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Weep openings let water drain from a cavity behind the outer masonry."", ""scope"": ""Drained brick veneer construction described by the Brick Industry Association; omit dimensions from the script.""}","{""recognition"": 3, ""overlooked_detail"": 4, ""payoff"": 4, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.gobrick.com/media/file/builder_notes_1-brick-veneer-construction.pdf"", ""publisher"": ""gobrick.com"", ""passage"": ""A nominal 1-inch air space is required to drain the water"", ""retrieved_at"": ""2026-09-16T05:02:25.868450+00:00""}]",brick-walls-have-tiny-open-gaps-near-the-bottom,mechanism-b68edcade0a9211a
buildings-004,buildings,travel,Why walls sometimes have vertical soft joints,walls sometimes have vertical soft joints,Movement joints allow adjacent sections to expand or contract with less cracking.,Movement joints allow adjacent sections to expand or contract with less cracking.,Brickwork movement joints; distinguish expansion from concrete contraction joints.,Global where the specified design is used,"Film walls sometimes have vertical soft joints; start with the visible detail, then a different close-up of the same object.",Compare two expanding masonry panels.,reviewed,"{""reviewed_at"": ""2026-09-16T05:07:30.646330+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Movement joints allow adjacent sections to expand or contract with less cracking."", ""scope"": ""Brickwork movement joints; distinguish expansion from concrete contraction joints.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.gobrick.com/media/file/18a-tn18a.pdf"", ""publisher"": ""gobrick.com"", ""passage"": ""Place expansion joints at the offset to allow the parallel walls to expand"", ""retrieved_at"": ""2026-09-16T05:02:28.027573+00:00""}]",walls-sometimes-have-vertical-soft-joints,mechanism-ed98939e24401e9b
buildings-005,buildings,travel,Why window frames have tiny drainage holes,window frames have tiny drainage holes,Drainage channels route water out of the frame instead of trapping it indoors.,Drainage channels route water out of the frame instead of trapping it indoors.,Andersen window and door products with designed drainage systems.,Global where the specified design is used,"Film window frames have tiny drainage holes; start with the visible detail, then a different close-up of the same object.",Trace water through a sill channel.,reviewed,"{""reviewed_at"": ""2026-09-16T05:07:30.646330+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Drainage channels route water out of the frame instead of trapping it indoors."", ""scope"": ""Andersen window and door products with designed drainage systems.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.andersenwindows.com/-/media/Project/AndersenCorporation/AndersenWindows/AndersenWindows/files/technical-docs/care-and-maintenance/9184628.pdf"", ""publisher"": ""andersenwindows.com"", ""passage"": ""The system is designed to drain water out through the weep holes"", ""retrieved_at"": ""2026-09-16T05:02:29.347841+00:00""}]",drain-traps,mechanism-318e5062881a1201
buildings-006,buildings,travel,Why double glazing has a metal strip around the edge,double glazing has a metal strip around the edge,A spacer maintains the pane separation and can contain moisture-absorbing material.,The thin strip can hide drying material that helps keep the sealed gap clear.,"Insulating glass units with spacer bars; spacers can be metal or other materials, and not all constructions hold desiccant in the same way.",Global where the specified design is used,"Film double glazing has a metal strip around the edge; start with the visible detail, then a different close-up of the same object.",Show an insulated glass edge cross-section.,reviewed,"{""reviewed_at"": ""2026-09-16T15:57:56.707849+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""A spacer maintains the pane separation and can contain moisture-absorbing material."", ""scope"": ""Insulating glass units with spacer bars; spacers can be metal or other materials, and not all constructions hold desiccant in the same way.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.pilkington.com/en/gbl/knowledge-hub-selection/architectural-and-technical-glass-knowledge-hub/glassary"", ""publisher"": ""pilkington.com"", ""passage"": ""The spacer bar also usually acts as a container for the desiccant in the insulating unit."", ""retrieved_at"": ""2026-09-16T05:02:32.005005+00:00""}]",architectural-glazing,mechanism-958000b4bb71d1b1
buildings-007,buildings,travel,Why new windows can mist on the outside,new windows can mist on the outside,Well-insulated outer panes can cool below the outdoor dew point while limiting indoor heat loss.,Condensation on the outside can have a different meaning from moisture between the panes.,Exterior condensation under suitable weather conditions on high-performance glazing; not mist between panes.,Global where the specified design is used,"Film new windows can mist on the outside; start with the visible detail, then a different close-up of the same object.",Compare temperatures across double glazing.,reviewed,"{""reviewed_at"": ""2026-09-16T05:07:30.647337+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Well-insulated outer panes can cool below the outdoor dew point while limiting indoor heat loss."", ""scope"": ""Exterior condensation under suitable weather conditions on high-performance glazing; not mist between panes.""}","{""recognition"": 3, ""overlooked_detail"": 4, ""payoff"": 4, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.pilkington.com/en/gbl/news/articles/why-does-springtime-bring-condensation-to-windows"", ""publisher"": ""pilkington.com"", ""passage"": ""the outer pane is colder due to heat being retained inside the home"", ""retrieved_at"": ""2026-09-16T05:02:35.141776+00:00""}]",architectural-glazing,mechanism-d0d6ed0007336d73
buildings-008,buildings,travel,Why some windows look slightly purple from one angle,some windows look slightly purple from one angle,Thin optical coatings alter the wavelengths reflected and transmitted.,Thin optical coatings alter the wavelengths reflected and transmitted.,Coated architectural glass example; the reflected tint depends on coating and viewing angle.,Global where the specified design is used,"Film some windows look slightly purple from one angle; start with the visible detail, then a different close-up of the same object.",Rotate a coated pane under a light beam.,reviewed,"{""reviewed_at"": ""2026-09-16T10:45:35.716384+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Thin optical coatings alter the wavelengths reflected and transmitted."", ""scope"": ""Coated architectural glass example; the reflected tint depends on coating and viewing angle.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.pilkington.com/-/media/pilkington/site-content/usa/window-manufacturers/technical-bulletins/ats184optiviewdesigndetails20130104nsgformat.pdf"", ""publisher"": ""pilkington.com"", ""passage"": ""at certain off-normal viewing angles, mostly caused by optical interference effects"", ""retrieved_at"": ""2026-09-16T05:02:38.306225+00:00""}]",architectural-glazing,mechanism-316071bc0c614335
buildings-009,buildings,travel,Why broken safety glass can remain in one sheet,broken safety glass can remain in one sheet,A laminated interlayer holds fractured pieces together.,A laminated interlayer holds fractured pieces together.,Laminated safety glass; do not generalize to all safety glass.,Global where the specified design is used,"Film broken safety glass can remain in one sheet; start with the visible detail, then a different close-up of the same object.",Compare laminated glass with a separated fracture.,reviewed,"{""reviewed_at"": ""2026-09-16T05:07:30.647337+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""A laminated interlayer holds fractured pieces together."", ""scope"": ""Laminated safety glass; do not generalize to all safety glass.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.pilkington.com/en/gbl/news/articles/specifying-for-protection-safety-and-security-glass"", ""publisher"": ""pilkington.com"", ""passage"": ""the PVB interlayer will help hold the fragments in place"", ""retrieved_at"": ""2026-09-16T05:02:38.338450+00:00""}]",cans,mechanism-411bf4e5756333fe
buildings-010,buildings,travel,Why toughened glass breaks into many small pieces,toughened glass breaks into many small pieces,The tempering process leaves a stress pattern that changes how cracks propagate.,The tempering process leaves a stress pattern that changes how cracks propagate.,Thermally toughened glass; explain stress release without suggesting deliberate breakage.,Global where the specified design is used,"Film toughened glass breaks into many small pieces; start with the visible detail, then a different close-up of the same object.",Release a crack through labelled stress layers.,reviewed,"{""reviewed_at"": ""2026-09-16T05:07:30.648343+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""The tempering process leaves a stress pattern that changes how cracks propagate."", ""scope"": ""Thermally toughened glass; explain stress release without suggesting deliberate breakage.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.pilkington.com/en/gbl/knowledge-hub-selection/architectural-and-technical-glass-knowledge-hub/glassary"", ""publisher"": ""pilkington.com"", ""passage"": ""compressive stress develops in the surface, balanced by tension in the centre"", ""retrieved_at"": ""2026-09-16T05:02:32.005005+00:00""}]",toughened-glass-breaks-into-many-small-pieces,mechanism-82ec3a0eeff5d0b2
buildings-011,buildings,travel,Why you can see dark patterns in car glass through sunglasses,you can see dark patterns in car glass through sunglasses,Polarized light reveals stress-related optical differences in some tempered glass.,Turning sunglasses can reveal a pattern already hidden in apparently clear glass.,Quench patterns visible with polarized light in heat-treated glass.,Global where the specified design is used,"Film you can see dark patterns in car glass through sunglasses; start with the visible detail, then a different close-up of the same object.",Rotate a polarizer over a stressed pane.,reviewed,"{""reviewed_at"": ""2026-09-16T05:07:30.648343+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Polarized light reveals stress-related optical differences in some tempered glass."", ""scope"": ""Quench patterns visible with polarized light in heat-treated glass.""}","{""recognition"": 3, ""overlooked_detail"": 4, ""payoff"": 4, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.pilkington.com/-/media/pilkington/site-content/usa/window-manufacturers/technical-bulletins/ats157quenchmarksinheattreatedglass20130114.pdf"", ""publisher"": ""pilkington.com"", ""passage"": ""they simply show areas of relatively more, or less, tempering stress"", ""retrieved_at"": ""2026-09-16T05:02:45.155375+00:00""}]",eyewear,mechanism-673d17ea70510231
buildings-012,buildings,travel,Why some glass seems to clean itself after rain,some glass seems to clean itself after rain,Certain coatings use sunlight and water spreading to help remove surface dirt.,Certain coatings use sunlight and water spreading to help remove surface dirt.,"Pilkington Activ coating; cleaning depends on light, rain and type of dirt, not zero maintenance.",Global where the specified design is used,"Film some glass seems to clean itself after rain; start with the visible detail, then a different close-up of the same object.",Show dirt breakdown followed by a water sheet.,reviewed,"{""reviewed_at"": ""2026-09-16T05:07:30.648343+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Certain coatings use sunlight and water spreading to help remove surface dirt."", ""scope"": ""Pilkington Activ coating; cleaning depends on light, rain and type of dirt, not zero maintenance.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://my.pilkington.com/en/knowledge-base/glass-technology/glass-in-buildings/glass-that-cleans-itself"", ""publisher"": ""pilkington.com"", ""passage"": ""it attracts water and causes it to \""sheet\"" on the surface of the glass"", ""retrieved_at"": ""2026-09-16T05:02:43.299131+00:00""}]",some-glass-seems-to-clean-itself-after-rain,mechanism-0516828e0551226e
